iter	RMSE
0	2.744305787
1	2.720453855
2	2.697807044
3	2.677448662
4	2.657340579
5	2.639662961
6	2.622404441
7	2.607247166
8	2.59371966
9	2.580394569
10	2.568171229
11	2.556024769
12	2.546094112
13	2.536088377
14	2.526603355
15	2.517217508
16	2.508743994
17	2.500712393
18	2.493496029
19	2.486322073
20	2.480154782
21	2.473587904
22	2.467069474
23	2.461854021
24	2.456608403
25	2.451469109
26	2.446403794
27	2.44209553
28	2.437481725
29	2.433245958
30	2.429337938
31	2.425739084
32	2.422118966
33	2.418772843
34	2.415959988
35	2.412805496
36	2.410114758
37	2.407505686
38	2.404046562
39	2.401321593
40	2.398482342
41	2.395891756
42	2.393096429
43	2.390823932
44	2.388691891
45	2.386512288
46	2.384402084
47	2.382061861
48	2.380205952
49	2.378155993
50	2.376201521
51	2.374159086
52	2.372617242
53	2.370728739
54	2.368959485
55	2.367704345
56	2.365872009
57	2.364078467
58	2.362511768
59	2.361161288
60	2.359566953
61	2.358076637
62	2.356542758
63	2.355120432
64	2.35299981
65	2.35178395
66	2.350478449
67	2.349042871
68	2.347637351
69	2.346066624
70	2.344521282
71	2.343229154
72	2.341779376
73	2.340516898
74	2.339336184
75	2.337960934
76	2.336532847
77	2.335199442
78	2.334206393
79	2.333445115
80	2.332519944
81	2.331587241
82	2.330692624
83	2.329882992
84	2.329098587
85	2.327849725
86	2.326641312
87	2.325123529
88	2.32417671
89	2.32279579
90	2.321425794
91	2.320011485
92	2.318881556
93	2.317904976
94	2.317030489
95	2.31598947
96	2.315032444
97	2.31418146
98	2.313151715
99	2.31215159
100	2.311408464
101	2.310579852
102	2.309832677
103	2.309233177
104	2.30811679
105	2.306816062
106	2.30599586
107	2.30486415
108	2.303829797
109	2.303163348
110	2.30204965
111	2.301310175
112	2.300664081
113	2.299838555
114	2.298994464
115	2.298460426
116	2.297356143
117	2.296749572
118	2.295904401
119	2.295106765
120	2.294153669
121	2.293552523
122	2.292784267
123	2.292008442
124	2.291286939
125	2.290665836
126	2.289837567
127	2.289061978
128	2.288442898
129	2.287883154
130	2.287035974
131	2.286398208
132	2.285328584
133	2.284647417
134	2.283914595
135	2.282726191
136	2.281667731
137	2.281122708
138	2.280292226
139	2.279528806
140	2.278728596
141	2.277815172
142	2.276678665
143	2.276046444
144	2.275573649
145	2.27489069
146	2.274152923
147	2.273613115
148	2.272731765
149	2.272135989
150	2.271338565
151	2.270732699
152	2.269459961
153	2.268433346
154	2.267940306
155	2.267547898
156	2.267055463
157	2.26640413
158	2.265523256
159	2.265077463
160	2.264429569
161	2.263577027
162	2.262514713
163	2.2616832
164	2.261272533
165	2.260803825
166	2.259983486
167	2.259523061
168	2.258645028
169	2.257818519
170	2.257163768
171	2.256783771
172	2.255998758
173	2.255491153
174	2.254840485
175	2.254497825
176	2.253877627
177	2.253379238
178	2.253003878
179	2.252063224
180	2.251422339
181	2.250734806
182	2.24965699
183	2.248930993
184	2.248536871
185	2.248014611
186	2.247511187
187	2.247344604
188	2.24686259
189	2.246299903
190	2.245823959
191	2.245278525
192	2.244701744
193	2.24424445
194	2.243590491
195	2.243028552
196	2.242448962
197	2.2419243
198	2.241417856
199	2.240846789
200	2.240580001
201	2.240107206
202	2.239490376
203	2.238793351
204	2.23820921
205	2.237734949
206	2.236820765
207	2.236078238
208	2.235248004
209	2.234694159
210	2.234182379
211	2.233672125
212	2.233259494
213	2.232548971
214	2.231684813
215	2.23133156
216	2.23096231
217	2.230541099
218	2.230010925
219	2.229612727
220	2.228693791
221	2.228188653
222	2.227459563
223	2.226852104
224	2.226444423
225	2.226103563
226	2.225328389
227	2.224854746
228	2.22429809
229	2.223623922
230	2.223076363
231	2.222379302
232	2.221711505
233	2.221278226
234	2.220828684
235	2.220501039
236	2.220208314
237	2.219447131
238	2.218821226
239	2.218330638
240	2.21778827
241	2.217222419
242	2.216711249
243	2.216236701
244	2.215711848
245	2.2151549
246	2.214634374
247	2.214272857
248	2.21363218
249	2.213230577
250	2.212542425
251	2.211785019
252	2.211289641
253	2.210724847
254	2.210168559
255	2.209752373
256	2.209312381
257	2.209017879
258	2.20851317
259	2.207984569
260	2.207571832
261	2.207116555
262	2.206781409
263	2.206489096
264	2.20631361
265	2.205538566
266	2.204918939
267	2.204217208
268	2.203604876
269	2.203049204
270	2.20277184
271	2.202297563
272	2.202069988
273	2.201505601
274	2.201320938
275	2.20070733
276	2.200218337
277	2.200026543
278	2.199518335
279	2.199037955
280	2.198637199
281	2.198137256
282	2.197963617
283	2.197401907
284	2.197037756
285	2.196535957
286	2.19597809
287	2.195710077
288	2.19544304
289	2.195060699
290	2.194669058
291	2.194204389
292	2.193880836
293	2.193245922
294	2.192865418
295	2.192564601
296	2.192153878
297	2.19194878
298	2.191469244
299	2.190841059
