iter	Passed	Remaining
0	9	2874
1	19	2871
2	28	2778
3	35	2658
4	45	2663
5	54	2680
6	62	2607
7	70	2590
8	78	2550
9	87	2551
10	95	2513
11	104	2499
12	111	2461
13	119	2450
14	127	2414
15	135	2412
16	143	2392
17	152	2389
18	159	2356
19	168	2362
20	176	2344
21	184	2334
22	191	2307
23	199	2296
24	207	2281
25	214	2264
26	222	2247
27	230	2236
28	238	2228
29	245	2210
30	253	2200
31	260	2184
32	269	2182
33	277	2170
34	349	2649
35	359	2634
36	389	2770
37	402	2774
38	412	2759
39	421	2737
40	431	2723
41	440	2707
42	450	2693
43	458	2667
44	467	2648
45	475	2625
46	485	2614
47	498	2614
48	507	2600
49	515	2577
50	521	2548
51	530	2530
52	537	2504
53	545	2485
54	552	2463
55	560	2440
56	567	2420
57	576	2407
58	584	2388
59	592	2369
60	599	2349
61	606	2327
62	614	2311
63	622	2294
64	630	2278
65	637	2261
66	646	2247
67	654	2231
68	662	2216
69	669	2198
70	677	2186
71	685	2171
72	694	2158
73	701	2141
74	709	2127
75	716	2112
76	725	2100
77	732	2083
78	740	2071
79	747	2054
80	755	2042
81	762	2028
82	771	2016
83	779	2003
84	787	1991
85	794	1977
86	803	1966
87	810	1953
88	818	1940
89	825	1926
90	833	1914
91	841	1903
92	849	1889
93	857	1879
94	864	1865
95	872	1854
96	879	1840
97	887	1829
98	895	1817
99	905	1810
100	917	1806
101	927	1800
102	938	1794
103	947	1785
104	956	1776
105	967	1770
106	976	1761
107	987	1755
108	996	1745
109	1004	1735
110	1012	1723
111	1020	1712
112	1028	1701
113	1036	1691
114	1043	1679
115	1051	1668
116	1059	1657
117	1067	1647
118	1075	1635
119	1083	1625
120	1090	1613
121	1098	1602
122	1105	1591
123	1114	1582
124	1121	1570
125	1129	1559
126	1136	1548
127	1145	1539
128	1152	1528
129	1160	1517
130	1169	1508
131	1178	1499
132	1186	1489
133	1194	1479
134	1201	1468
135	1208	1457
136	1216	1447
137	1224	1437
138	1231	1426
139	1239	1416
140	1246	1405
141	1254	1395
142	1262	1386
143	1269	1375
144	1277	1365
145	1285	1355
146	1294	1347
147	1302	1337
148	1311	1328
149	1318	1318
150	1327	1310
151	1335	1300
152	1348	1295
153	1374	1303
154	1395	1305
155	1412	1304
156	1434	1306
157	1443	1296
158	1450	1286
159	1458	1275
160	1467	1267
161	1477	1258
162	1486	1249
163	1498	1242
164	1509	1235
165	1517	1225
166	1528	1216
167	1554	1221
168	1581	1226
169	1623	1241
170	1646	1241
171	1673	1245
172	1687	1238
173	1699	1230
174	1716	1225
175	1727	1217
176	1740	1209
177	1754	1202
178	1768	1195
179	1781	1187
180	1800	1183
181	1815	1176
182	1829	1169
183	1844	1162
184	1857	1154
185	1871	1147
186	1885	1139
187	1900	1132
188	1916	1125
189	1929	1117
190	1940	1107
191	1954	1099
192	1965	1089
193	1975	1079
194	1986	1069
195	1995	1058
196	2006	1048
197	2017	1039
198	2030	1030
199	2041	1020
200	2051	1010
201	2060	999
202	2070	989
203	2079	978
204	2087	967
205	2097	957
206	2106	946
207	2116	936
208	2125	925
209	2136	915
210	2148	906
211	2158	895
212	2169	886
213	2181	876
214	2191	866
215	2203	856
216	2213	846
217	2223	836
218	2235	826
219	2247	817
220	2258	807
221	2269	797
222	2282	788
223	2292	777
224	2303	767
225	2316	758
226	2328	748
227	2337	738
228	2352	729
229	2366	720
230	2377	710
231	2389	700
232	2400	690
233	2413	680
234	2422	670
235	2431	659
236	2440	648
237	2449	638
238	2459	627
239	2467	616
240	2479	606
241	2486	596
242	2497	585
243	2507	575
244	2516	564
245	2525	554
246	2533	543
247	2543	533
248	2550	522
249	2559	511
250	2566	501
251	2575	490
252	2582	479
253	2593	469
254	2600	458
255	2610	448
256	2618	438
257	2626	427
258	2635	417
259	2642	406
260	2650	396
261	2658	385
262	2665	374
263	2674	364
264	2681	354
265	2689	343
266	2696	333
267	2704	322
268	2712	312
269	2721	302
270	2729	292
271	2740	282
272	2748	271
273	2758	261
274	2770	251
275	2781	241
276	2791	231
277	2799	221
278	2807	211
279	2814	201
280	2821	190
281	2830	180
282	2851	171
283	2889	162
284	2926	154
285	2953	144
286	2979	134
287	2990	124
288	3019	114
289	3026	104
290	3034	93
291	3042	83
292	3049	72
293	3057	62
294	3064	51
295	3071	41
296	3079	31
297	3086	20
298	3094	10
299	3101	0
